rank,title,year,run_time,rating,movie_link
1.,The Shawshank Redemption,1994,2h 22m,R,https://imdb.com/title/tt0111161/?ref_=chttp_t_1
2.,The Godfather,1972,2h 55m,R,https://imdb.com/title/tt0068646/?ref_=chttp_t_2
3.,The Dark Knight,2008,2h 32m,PG-13,https://imdb.com/title/tt0468569/?ref_=chttp_t_3
4.,The Godfather Part II,1974,3h 22m,R,https://imdb.com/title/tt0071562/?ref_=chttp_t_4
5.,12 Angry Men,1957,1h 36m,Approved,https://imdb.com/title/tt0050083/?ref_=chttp_t_5
6.,The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,https://imdb.com/title/tt0167260/?ref_=chttp_t_6
7.,Schindler's List,1993,3h 15m,R,https://imdb.com/title/tt0108052/?ref_=chttp_t_7
8.,Pulp Fiction,1994,2h 34m,R,https://imdb.com/title/tt0110912/?ref_=chttp_t_8
9.,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,https://imdb.com/title/tt0120737/?ref_=chttp_t_9
10.,"The Good, the Bad and the Ugly",1966,2h 58m,R,https://imdb.com/title/tt0060196/?ref_=chttp_t_10
11.,Forrest Gump,1994,2h 22m,PG-13,https://imdb.com/title/tt0109830/?ref_=chttp_t_11
12.,The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,https://imdb.com/title/tt0167261/?ref_=chttp_t_12
13.,Fight Club,1999,2h 19m,R,https://imdb.com/title/tt0137523/?ref_=chttp_t_13
14.,Inception,2010,2h 28m,PG-13,https://imdb.com/title/tt1375666/?ref_=chttp_t_14
15.,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,https://imdb.com/title/tt0080684/?ref_=chttp_t_15
16.,The Matrix,1999,2h 16m,R,https://imdb.com/title/tt0133093/?ref_=chttp_t_16
17.,Goodfellas,1990,2h 25m,R,https://imdb.com/title/tt0099685/?ref_=chttp_t_17
18.,One Flew Over the Cuckoo's Nest,1975,2h 13m,R,https://imdb.com/title/tt0073486/?ref_=chttp_t_18
19.,Interstellar,2014,2h 49m,PG-13,https://imdb.com/title/tt0816692/?ref_=chttp_t_19
20.,Se7en,1995,2h 7m,R,https://imdb.com/title/tt0114369/?ref_=chttp_t_20
21.,It's a Wonderful Life,1946,2h 10m,PG,https://imdb.com/title/tt0038650/?ref_=chttp_t_21
22.,Seven Samurai,1954,3h 27m,Not Rated,https://imdb.com/title/tt0047478/?ref_=chttp_t_22
23.,The Silence of the Lambs,1991,1h 58m,R,https://imdb.com/title/tt0102926/?ref_=chttp_t_23
24.,Saving Private Ryan,1998,2h 49m,R,https://imdb.com/title/tt0120815/?ref_=chttp_t_24
25.,City of God,2002,2h 10m,R,https://imdb.com/title/tt0317248/?ref_=chttp_t_25
